,name,time,clauses,variables
2,bmc-ibm-1,0.024386882781982422,55870,9685
1,bmc-ibm-2,0.00047707557678222656,11683,2810
0,bmc-ibm-3,0.04875016212463379,72106,14930
4,bmc-ibm-4,0.03106093406677246,139716,28161
3,bmc-ibm-5,0.003932952880859375,41207,9396
5,bmc-ibm-6,0.019457101821899414,368352,51639
6,bmc-ibm-7,0.0019040107727050781,39774,8710
12,bmc-galileo-8,0.07695722579956055,294821,58074
11,bmc-galileo-9,0.014397859573364258,326999,63624
7,bmc-ibm-10,0.137099027633667,323700,59056
8,bmc-ibm-11,0.15305805206298828,150027,32109
10,bmc-ibm-12,0.7029533386230469,194778,39598
9,bmc-ibm-13,0.0663461685180664,65728,13215
